question_id,question,expected_response
1,When did the CY 2024 Medicare Physician Fee Schedule (MPFS) Final Rule become effective?,"""January 1, 2024"""
2,"What is the finalized conversion factor for CY 2024, and how does it compare to CY 2023?","$32.7442, decrease of 3.37%"
3,Why did CMS implemented HCPCS code G2211 in 2024?,To recognize complexity and longitudinal care in E/M visits
4,What is the KX modifier used for in outpatient therapy services?,To attest services over the threshold remain necessary
5,Which of the following telehealth practitioner types was newly added for CY 2024?,Marriage and Family Therapists (MFTs)
6,Which place of service (POS) code will be paid at the non-facility rate for telehealth services when the patient is in their home?,10
7,What is one key reason CMS is pausing the implementation of the Appropriate Use Criteria (AUC) program?,Barriers related to claims automation processes
8,Which new CPT code was added permanently to the Medicare Telehealth Services List to assess social determinants of health (SDOH)?,G0136
9,"Under the 2024 MPFS Final Rule, how long will CMS allow virtual supervision using real-time audio/visual technology for direct supervision?",Through CY 2024
10,What is the finalized therapy threshold amount for CY 2024 for combined physical therapy (PT) and speech-language pathology (SLP) services?,"$2,330 "
11,"What significant change did CMS make to Promoting Interoperability (PI) category requirements for physical therapists, occupational therapists, and speech-language pathologists starting January 1, 2024?","CMS discontinued automatic reweighting of the PI category for PTs, OTs, and SLPs, meaning they are now required to use Certified Electronic Health Record Technology (CEHRT) unless they qualify for a hardship or small practice exception."
12,What is the data completeness threshold for quality measures in the 2024 and 2025 MIPS performance years?,"The threshold is 75%, meaning clinicians must submit data on at least 75% of eligible patients that meet the denominator criteria for each measure."
13,What new MIPS Value Pathway (MVP) was finalized for rehabilitative care in the 2024 performance year?,"The “Rehabilitative Support for Musculoskeletal Care” MVP was finalized, including FOTO clinical quality measures and the Low Back Pain cost measure."
14,What happens if a clinician fails to attest “YES” to the SAFER Guides measure in the Promoting Interoperability category?,"A “NO” attestation will result in a score of zero for the entire Promoting Interoperability performance category, indicating the clinician is not a meaningful user of CEHRT."
15,"How many new quality measures were added for 2024, and what is one example?",Eleven new quality measures were added. One example is Measure ID 503: “Gains in Patient Activation Measure (PAM) Scores at 12 Months.”
16,What is the performance threshold (minimum final score) to avoid a negative MIPS payment adjustment in 2024?,The performance threshold remains at 75 points.
17,What update did CMS make to the Promoting Interoperability performance period in 2024?,The performance period was lengthened from a continuous 90-day period to a continuous 180-day period.
18,Which provider type was removed from eligibility as a third-party intermediary starting in the 2025 performance period?,Health IT vendors were removed from eligibility to act as third-party intermediaries.
19,What behavioral health-related improvement activities were added for 2024?,New improvement activities include behavioral and mental health and substance use screening and referral for pregnant/postpartum women and for older adults.
20,What change was made to cost improvement scoring in MIPS?,"Cost improvement scoring was moved from the measure level to the category level, with a maximum score of 0% for 2020–2024 and 1% starting with the 2023 performance year."
